Time Stamp Readable,Hour Stamp,Time Stamp Unix,bcycle_houston_2061,bcycle_houston_2062,bcycle_houston_2063,bcycle_houston_2201,bcycle_houston_2202,bcycle_houston_2203,bcycle_houston_2270,bcycle_houston_2271,bcycle_houston_2272,bcycle_houston_2273,bcycle_houston_2274,bcycle_houston_2277,bcycle_houston_2279,bcycle_houston_2280,bcycle_houston_2282,bcycle_houston_2283,bcycle_houston_2284,bcycle_houston_2285,bcycle_houston_2288,bcycle_houston_2291,bcycle_houston_2369,bcycle_houston_2433,bcycle_houston_2434,bcycle_houston_2435,bcycle_houston_2436,bcycle_houston_2438,bcycle_houston_2439,bcycle_houston_2441,bcycle_houston_2529,bcycle_houston_3365,bcycle_houston_3374,bcycle_houston_3393,bcycle_houston_3478,Abs Sum,Avg Diff
Thu Nov 17 10:42:38 CST 2016,11,1479400958,-2,2,1,1,0,-6,-1,-3,5,-2,1,-1,-2,-2,-2,0,0,1,1,-3,-1,-2,-3,-1,-1,-1,0,1,-2,-2,0,-4,3,1.727272727,-0.757575758
Thu Nov 17 16:24:08 CST 2016,16,1479421448,-3,1,3,2,0,-1,-1,-3,0,-3,-1,-1,-1,-1,0,0,0,1,1,-1,-1,-5,-3,-1,-1,-2,0,3,-2,-3,1,1,3,1.515151515,-0.545454545
Thu Nov 17 19:57:24 CST 2016,20,1479434244,4,-1,-5,1,-2,0,-2,-1,-4,0,-4,-2,0,1,-1,2,1,-1,1,1,-2,-3,-1,0,-1,-4,1,3,-1,-1,0,0,3,1.636363636,-0.545454545
Thu Nov 17 21:56:36 CST 2016,22,1479441396,1,-1,-5,1,-2,-2,-2,-2,-1,0,-2,-1,0,1,-2,2,1,1,1,-1,-2,-1,-1,0,0,-4,1,3,-1,-1,0,1,3,1.424242424,-0.454545455
Fri Nov 18 10:06:45 CST 2016,10,1479485205,1,0,-1,1,-2,-1,0,0,4,3,-1,-1,-2,-3,-2,0,1,1,2,0,0,-2,-1,-3,0,-1,1,3,-3,-1,-1,-4,3,1.484848485,-0.272727273
Fri Nov 18 12:06:38 CST 2016,12,1479492398,1,0,-1,-1,-3,0,-1,0,1,-1,-1,-2,-1,0,0,0,2,1,2,3,0,-2,-1,0,0,-1,1,3,-5,-1,0,-4,3,1.272727273,-0.242424242
Fri Nov 18 15:55:54 CST 2016,16,1479506154,1,0,-1,0,-3,0,0,0,1,-1,-2,-2,0,0,0,0,2,1,2,1,0,0,-1,1,0,-1,1,3,1,-1,0,-3,3,0.96969697,0.060606061
Fri Nov 18 17:57:15 CST 2016,18,1479513435,2,2,-3,-1,-3,0,-1,-1,-2,-1,-2,0,1,0,0,0,2,1,0,-1,-1,2,0,0,0,-1,1,3,2,-1,1,-3,3,1.242424242,-0.03030303
Fri Nov 18 23:53:27 CST 2016,24,1479534807,1,1,-2,0,-3,0,-3,-2,-1,0,-1,1,-1,2,0,0,1,1,-1,4,-1,2,0,0,0,-1,1,1,0,-1,1,-1,3,1.121212121,0.03030303
Sat Nov 19 05:56:27 CST 2016,6,1479556587,1,1,-2,0,-3,0,-3,-2,-1,0,-1,1,-1,2,0,0,1,1,-1,4,-1,2,0,0,0,-1,1,1,0,-1,1,-1,3,1.121212121,0.03030303
Sat Nov 19 05:56:27 CST 2016,6,1479556587,1,1,-2,0,-3,0,-3,-2,-1,0,-1,1,-1,2,0,0,1,1,-1,4,-1,2,0,0,0,-1,1,1,0,-1,1,-1,3,1.121212121,0.03030303
Sat Nov 19 05:56:27 CST 2016,6,1479556587,1,1,-2,0,-3,0,-3,-2,-1,0,-1,1,-1,2,0,0,1,1,-1,4,-1,2,0,0,0,-1,1,1,0,-1,1,-1,3,1.121212121,0.03030303
Sat Nov 19 09:55:38 CST 2016,10,1479570938,1,1,-2,0,-3,-2,-1,-2,-1,0,-1,1,-1,-2,1,0,-1,1,-1,2,0,-3,-2,0,0,-1,1,-3,0,-1,1,-1,3,1.212121212,-0.484848485
Sat Nov 19 15:55:46 CST 2016,16,1479592546,2,-4,-3,0,-3,-7,1,1,-3,-3,-1,-3,-4,-3,-5,-2,-3,-1,-3,2,0,-8,-5,-6,-3,-1,-1,-4,-3,1,1,1,3,2.757575758,-2.03030303
Sat Nov 19 18:09:13 CST 2016,18,1479600553,4,3,-6,0,-3,-1,1,3,-5,2,4,1,-3,-4,-2,0,-3,-7,-2,3,-1,-4,-4,-5,-2,-1,-1,-3,-3,0,3,1,3,2.666666667,-0.96969697
Sat Nov 19 19:55:34 CST 2016,20,1479606934,4,3,-3,0,-3,0,1,3,-4,1,4,-5,-3,-4,-1,-2,-3,-3,-2,2,-1,-1,-2,-5,0,-1,-1,-3,-3,2,5,1,3,2.393939394,-0.636363636
Sat Nov 19 23:57:47 CST 2016,24,1479621467,4,-2,0,0,-3,0,1,3,-4,1,1,3,-1,-4,0,-3,-3,-3,-2,5,-1,-1,-2,-5,3,-1,-1,-4,-3,2,5,1,3,2.272727273,-0.333333333
Sun Nov 20 10:04:25 CST 2016,10,1479657865,1,-2,0,0,-3,-3,7,-1,-4,1,1,1,-1,-3,0,-1,-3,-6,-2,-4,-1,-1,-5,0,3,-1,-1,0,-3,2,2,1,3,2.03030303,-0.696969697
Sun Nov 20 13:57:20 CST 2016,14,1479671840,-2,-2,-6,0,-4,-7,7,-3,0,0,1,-3,-3,-1,0,-8,-3,-3,-1,-7,-1,0,-6,1,-3,0,-2,-5,-3,0,-2,-1,3,2.666666667,-1.939393939
Sun Nov 20 15:52:50 CST 2016,16,1479678770,1,-4,-5,-5,-3,-4,7,-2,0,-6,-7,-1,-1,-4,-3,-5,-4,-4,-1,-7,-1,-3,-5,1,-4,0,-2,-2,-3,0,-7,-1,3,3.212121212,-2.484848485
Sun Nov 20 17:54:35 CST 2016,18,1479686075,-6,0,-4,-5,-4,3,7,-2,-2,-1,3,-2,-1,-1,0,-6,-2,-4,-1,-7,-1,1,-2,-1,0,-4,-2,-3,-3,-4,-8,-1,3,2.848484848,-1.818181818
Sun Nov 20 23:01:00 CST 2016,23,1479704460,-3,2,0,1,-4,3,7,-4,0,2,7,0,-1,-1,-2,-2,-2,-4,-1,6,-1,-2,-1,2,0,-4,-2,3,-3,-3,-1,-1,3,2.363636364,-0.181818182
Mon Nov 21 05:57:53 CST 2016,6,1479729473,-3,2,3,1,-4,3,7,-4,0,2,7,0,-1,-1,-2,-2,-2,-4,-1,6,-1,-2,-1,2,0,-4,-2,3,-3,-3,-1,-1,3,2.454545455,-0.090909091
Mon Nov 21 08:14:36 CST 2016,8,1479737676,-3,1,3,1,-3,3,7,-2,2,1,0,0,-1,-4,0,-2,-2,-4,0,0,-1,-2,-2,2,0,-4,-2,3,-4,0,-1,0,3,1.909090909,-0.333333333
Mon Nov 21 09:55:26 CST 2016,10,1479743726,-2,1,3,1,0,-1,7,-2,4,1,1,-1,-1,-1,0,-2,-2,-1,0,-1,0,-3,-3,-2,0,-4,-2,3,-4,0,-1,0,3,1.727272727,-0.272727273
Mon Nov 21 11:56:09 CST 2016,12,1479750969,-3,1,3,1,0,-3,7,-1,0,-1,2,-1,-1,-1,0,-1,-2,-1,0,-2,-1,0,-3,-2,0,-1,-2,0,-4,0,-1,1,3,1.484848485,-0.393939394
Mon Nov 21 13:55:11 CST 2016,14,1479758111,-5,0,2,-1,0,0,7,-1,0,2,2,-1,-1,-2,0,-1,-2,-2,1,-6,1,0,-3,-2,0,-1,-2,-2,-4,1,-1,-3,3,1.787878788,-0.636363636
Mon Nov 21 15:55:36 CST 2016,16,1479765336,-1,-1,0,-1,-1,-2,7,0,-1,2,2,-1,-2,-4,0,-1,-2,-2,0,-5,-1,-3,-3,-1,0,-1,-2,-1,-4,0,3,-3,3,1.818181818,-0.787878788
Mon Nov 21 20:17:02 CST 2016,20,1479781022,0,-1,1,-1,-1,0,7,-3,-2,-6,1,-1,-1,-2,0,-1,-1,-2,-1,2,-1,5,-3,-1,0,-1,-2,0,-2,1,3,-2,3,1.757575758,-0.363636364
Mon Nov 21 21:55:07 CST 2016,22,1479786907,0,-1,-3,0,-1,-4,7,-3,-2,-4,2,-1,-1,-2,0,-1,-1,-4,-1,-7,-1,5,-3,-1,0,-1,-2,0,-2,1,3,-2,3,2.090909091,-0.818181818
Mon Nov 21 23:56:26 CST 2016,24,1479794186,0,-1,-2,0,-1,0,7,-3,-2,0,4,-1,-1,-2,0,-1,-1,-2,-1,2,-1,5,-3,-1,0,-1,-2,0,-2,1,3,-2,3,1.666666667,-0.151515152
Tue Nov 22 10:12:02 CST 2016,10,1479831122,0,0,0,-1,-1,0,7,-2,4,1,0,-2,-1,0,-2,-1,-1,-2,-1,-2,0,-1,-1,0,0,-1,-2,0,-3,-2,0,-2,3,1.303030303,-0.393939394
Tue Nov 22 12:18:25 CST 2016,12,1479838705,0,3,0,-6,-1,-1,1,1,-1,1,0,-2,-1,1,-1,-2,-1,-1,-1,-6,0,-4,-1,0,0,-1,-2,-1,-5,-2,0,1,3,1.545454545,-0.878787879
Wed Nov 23 00:06:48 CST 2016,24,1479881208,4,0,-4,0,-1,1,-1,0,2,-5,3,-1,-1,1,2,-1,-1,3,-1,3,0,-3,2,-1,-1,-3,-3,2,-2,-4,0,2,3,1.848484848,-0.151515152
Thu Nov 24 08:09:11 CST 2016,8,1479996551,0,-2,0,-2,-1,3,0,-5,-3,-1,-2,0,-2,1,1,1,-1,-3,-3,2,0,0,2,2,1,-1,0,2,-1,1,-3,0,3,1.484848485,-0.333333333
Thu Nov 24 11:57:09 CST 2016,12,1480010229,3,1,-3,-3,-1,-2,-2,-6,-3,-2,-2,0,0,1,3,0,-1,-2,-3,-7,0,-4,0,1,-2,-1,0,2,-4,-2,-2,-4,3,2.121212121,-1.272727273
Thu Nov 24 12:15:58 CST 2016,12,1480011358,3,1,-3,-1,-1,-4,-2,-8,-3,-2,-2,-2,0,1,3,0,-1,-2,-3,-6,0,-4,0,1,-2,-1,0,1,-4,-2,-2,-4,3,2.181818182,-1.393939394
Thu Nov 24 17:58:36 CST 2016,18,1480031916,3,-1,1,-1,-2,-2,-5,0,-3,-5,-4,-2,0,-4,1,0,-1,-2,-3,-4,1,-5,0,-1,1,-1,0,0,-2,1,4,-4,3,2.03030303,-1.121212121
Thu Nov 24 20:09:18 CST 2016,20,1480039758,2,-1,0,-1,-2,3,-5,0,-3,-1,-4,-2,0,1,1,0,-1,-4,-3,-2,3,-3,0,-1,1,-1,0,-3,-2,1,2,3,3,1.787878788,-0.575757576
Thu Nov 24 21:56:23 CST 2016,22,1480046183,2,-1,-6,-1,-2,2,-5,2,-3,-5,-8,-2,0,1,1,0,-1,-2,-3,-3,3,-3,0,-1,1,-1,0,-3,-2,1,2,3,3,2.212121212,-0.939393939
Thu Nov 24 23:52:39 CST 2016,24,1480053159,2,-1,4,-1,-2,3,-5,2,-3,-5,-4,-2,0,1,1,0,-1,-2,-3,0,3,-3,0,-1,1,-1,-1,-3,-2,1,2,3,-4,2.03030303,-0.636363636
Fri Nov 25 06:00:00 CST 2016,6,1480066519,2,-1,5,-1,-2,3,-5,2,-3,-5,-4,-2,0,1,1,0,-1,-2,-3,0,3,-3,0,-1,1,-1,-1,-3,-2,1,2,3,3,2.03030303,-0.393939394
Fri Nov 25 08:10:45 CST 2016,8,1480083045,2,-1,0,-1,-2,3,-2,2,-3,-1,-4,-2,0,1,1,0,-1,-2,-2,0,3,-3,0,-1,1,-1,0,0,-2,0,2,2,3,1.454545455,-0.242424242
Fri Nov 25 10:20:17 CST 2016,10,1480090817,2,-1,0,-1,-2,1,-2,-1,-2,1,-4,-2,0,1,1,0,-1,-2,-2,-2,0,-3,-1,-1,1,-1,0,0,-2,0,2,0,3,1.272727273,-0.545454545
