Time Stamp Readable,Hour Stamp,Time Stamp Unix,bcycle_houston_2061,bcycle_houston_2062,bcycle_houston_2063,bcycle_houston_2201,bcycle_houston_2202,bcycle_houston_2203,bcycle_houston_2270,bcycle_houston_2271,bcycle_houston_2272,bcycle_houston_2273,bcycle_houston_2274,bcycle_houston_2277,bcycle_houston_2279,bcycle_houston_2280,bcycle_houston_2282,bcycle_houston_2283,bcycle_houston_2284,bcycle_houston_2285,bcycle_houston_2288,bcycle_houston_2291,bcycle_houston_2369,bcycle_houston_2433,bcycle_houston_2434,bcycle_houston_2435,bcycle_houston_2436,bcycle_houston_2438,bcycle_houston_2439,bcycle_houston_2441,bcycle_houston_2529,bcycle_houston_3365,bcycle_houston_3374,bcycle_houston_3393,bcycle_houston_3478
Thu Nov 17 10:42:38 CST 2016,11,1479400958,4,8,7,7,8,1,7,5,12,4,9,4,3,4,4,8,5,8,7,4,6,6,3,5,6,5,5,7,4,5,8,3,7
Thu Nov 17 16:24:08 CST 2016,16,1479421448,3,7,9,8,8,6,7,5,7,3,7,4,4,5,6,8,5,8,7,6,6,3,3,5,6,4,5,9,4,4,9,8,7
Thu Nov 17 19:57:24 CST 2016,20,1479434244,10,5,1,7,6,7,6,7,3,6,4,3,5,7,5,10,6,6,7,8,5,5,5,6,6,2,6,9,5,6,8,7,7
Thu Nov 17 21:56:36 CST 2016,22,1479441396,7,5,1,7,6,5,6,6,6,6,6,4,5,7,4,10,6,8,7,6,5,7,5,6,7,2,6,9,5,6,8,8,7
Fri Nov 18 10:06:45 CST 2016,10,1479485205,7,6,5,7,6,6,8,8,11,9,7,4,3,3,4,8,6,8,8,7,7,6,5,3,7,5,6,9,3,6,7,3,7
Fri Nov 18 12:06:38 CST 2016,12,1479492398,7,6,5,5,5,7,7,8,8,5,7,3,4,6,6,8,7,8,8,10,7,6,5,6,7,5,6,9,1,6,8,3,7
Fri Nov 18 15:55:54 CST 2016,16,1479506154,7,6,5,6,5,7,8,8,8,5,6,3,5,6,6,8,7,8,8,8,7,8,5,7,7,5,6,9,7,6,8,4,7
Fri Nov 18 17:57:15 CST 2016,18,1479513435,8,8,3,5,5,7,7,7,5,5,6,5,6,6,6,8,7,8,6,6,6,10,6,6,7,5,6,9,8,6,9,4,7
Fri Nov 18 23:53:27 CST 2016,24,1479534807,7,7,4,6,5,7,5,6,6,6,7,6,4,8,6,8,6,8,5,11,6,10,6,6,7,5,6,7,6,6,9,6,7
Sat Nov 19 05:56:27 CST 2016,6,1479556587,7,7,4,6,5,7,5,6,6,6,7,6,4,8,6,8,6,8,5,11,6,10,6,6,7,5,6,7,6,6,9,6,7
Sat Nov 19 05:56:27 CST 2016,6,1479556587,7,7,4,6,5,7,5,6,6,6,7,6,4,8,6,8,6,8,5,11,6,10,6,6,7,5,6,7,6,6,9,6,7
Sat Nov 19 05:56:27 CST 2016,6,1479556587,7,7,4,6,5,7,5,6,6,6,7,6,4,8,6,8,6,8,5,11,6,10,6,6,7,5,6,7,6,6,9,6,7
Sat Nov 19 09:55:38 CST 2016,10,1479570938,7,7,4,6,5,5,7,6,6,6,7,6,4,4,7,8,4,8,5,9,7,5,4,6,7,5,6,3,6,6,9,6,7
Sat Nov 19 15:55:46 CST 2016,16,1479592546,8,2,3,6,5,0,9,9,4,3,7,2,1,3,1,6,2,6,3,9,7,0,1,0,4,5,4,2,3,8,9,8,7
Sat Nov 19 18:09:13 CST 2016,18,1479600553,10,9,0,6,5,6,9,11,2,8,12,6,2,2,4,8,2,0,4,10,6,4,2,1,5,5,4,3,3,7,11,8,7
Sat Nov 19 19:55:34 CST 2016,20,1479606934,10,9,3,6,5,7,9,11,3,7,12,0,2,2,5,6,2,4,4,9,6,7,4,1,7,5,4,3,3,9,13,8,7
